"SLAB번호","정정_장입LT","전저장위치코드","발지야드포인트","스카핑여부","품명","롤단위지정구분","월구분","정정_압연작업지시LT","장입온도"
"SQ81021 551",16,"5GG","5A",0,"GI","D",9,4.5,225
"SQ60390 061",13.4,"5GG","5A",0,"HR",,2,5.5,284
"SQ75233 551",8,"5GG","5A",0,"CR",,7,-0.7,282
"SQ56343 011",11,"5GG","4C",0,"CR",,1,7.3,282
"SQ54986 541",16.7,"5GG","4C",0,"GI","F",12,9.5,220
"SQ51568 541",18.3,"3GB","5A",1,"GI","D",11,4,197
"SQ52938 511",12.1,"3GB","4C",1,"PO","F",11,1.5,142
"SQ55302 511",13.5,"5GG","4C",0,"PO","B",12,0.9,250
"SQ72023 511",10.2,"3GB","4C",1,"HR","D",6,5.2,172
"SQ58925 551",16.1,"5GG","5A",0,"GA",,2,12.6,275
"SQ76591 061",14.7,"5GG","5A",0,"GA",,8,6.1,252
"SQ71010 011",5.3,"3GB","5A",1,"GI",,6,-3.1,251
"SQ70238 521",20,"3GB","5A",0,"CR",,6,11.5,293
"SQ62103 041",19.4,"5GG","5A",0,"CR",,3,8.5,258
"SQ57068 031",10.6,"3GB","4C",1,"HR","F",1,-2.3,150
"SQ68200 511",19,"3GB","4C",0,"HR",,5,11.4,291
"SQ67078 531",3.7,"3GB","4C",1,"FH",,4,-8.4,264
"SQ80867 011",17.1,"3GB","4C",0,"HR",,9,6.2,272
"SQ79384 031",5.9,"3GB","5A",1,"HR","F",9,-8.5,292
"SQ51926 051",14.6,"5GG","4C",0,"PO","D",11,2.3,265
"SQ51370 521",15.5,"5GG","4C",0,"PO","G",10,5.7,299
"SQ51550 521",9.3,"3GB","5A",1,"GI",,11,-6.9,249
"SQ54057 021",14.3,"3GB","4C",0,"HGI","F",12,3.7,299
"SQ68553 541",5.3,"5GG","5A",1,"GI",,5,-2,218
"SQ53258 051",18.4,"5GG","4C",0,"HGI","D",11,4.8,279
"SQ68698 021",7,"5GG","4C",0,"CR","B",5,-1.3,275
"SQ53143 041",19.1,"5GG","4C",0,"CR",,11,14,285
"SQ69325 531",10.5,"3GB","5A",1,"CR",,5,4.2,250
"SQ54764 031",15.7,"5GG","5A",0,"PO","B",12,-2.3,276
"SQ81021 511",16.4,"5GG","5A",0,"FH","D",9,5,247
"SQ52900 551",5.7,"3GB","4C",1,"HR",,11,-1.7,258
"SQ76322 031",13,"3GB","4C",1,"HR","D",8,5.5,298
"SQ59495 041",16.7,"5GG","5A",0,"GI",,2,0.3,284
